Num;Name;Surf_tot;Surf_non_nat
1;Aeugst am Albis;790;97
2;Affoltern am Albis;1054;290
3;Bonstetten;744;122
4;Hausen am Albis;1364;162
5;Hedingen;655;122
6;Kappel am Albis;782;63
7;Knonau;649;98
8;Maschwanden;468;33
9;Mettmenstetten;1305;188
10;Obfelden;755;160
11;Ottenbach;503;99
12;Rifferswil;659;60
13;Stallikon;1202;125
14;Wettswil am Albis;375;125
21;Adlikon;661;60
22;Benken (ZH);566;46
23;Berg am Irchel;703;33
24;Buch am Irchel;1016;71
25;Dachsen;266;84
26;Dorf;554;58
27;Feuerthalen;250;94
28;Flaach;1020;86
29;Flurlingen;240;52
30;Andelfingen;671;107
31;Henggart;305;64
32;Humlikon;368;32
33;Kleinandelfingen;1029;117
34;Laufen-Uhwiesen;629;75
35;Marthalen;1415;126
37;Ossingen;1307;112
38;Rheinau;897;91
39;Thalheim an der Thur;646;56
40;Trüllikon;956;77
41;Truttikon;440;27
43;Volken;327;20
292;Stammheim;2397;201
51;Bachenbülach;428;107
52;Bassersdorf;902;263
53;Bülach;1609;420
54;Dietlikon;423;190
55;Eglisau;909;149
56;Embrach;1272;241
57;Freienstein-Teufen;834;77
58;Glattfelden;1225;170
59;Hochfelden;617;60
60;Höri;479;87
61;Hüntwangen;491;66
62;Kloten;1932;702
63;Lufingen;518;81
64;Nürensdorf;1009;216
65;Oberembrach;1019;61
66;Opfikon;559;335
67;Rafz;1071;171
68;Rorbas;449;71
69;Wallisellen;645;346
70;Wasterkingen;394;24
71;Wil (ZH);895;95
72;Winkel;809;155
81;Bachs;919;56
82;Boppelsen;394;48
83;Buchs (ZH);586;166
84;Dällikon;450;113
85;Dänikon;282;50
86;Dielsdorf;587;181
87;Hüttikon;160;31
88;Neerach;600;108
89;Niederglatt;360;114
90;Niederhasli;1128;246
91;Niederweningen;685;97
92;Oberglatt;826;184
93;Oberweningen;491;55
94;Otelfingen;718;180
95;Regensberg;240;18
96;Regensdorf;1459;456
97;Rümlang;1244;311
98;Schleinikon;566;38
99;Schöfflisdorf;395;43
