ID0;ID1;Death;Birth
1;Z;1371;3700
2;Bern / Berne;596;1427
3;Luzern;254;633
4;Uri;9;31
5;Schwyz;103;302
6;Obwalden;17;51
7;Nidwalden;25;55
8;Glarus;39;59
9;Zug;95;283
10;Fribourg / Freiburg;156;792
11;Solothurn;206;566
12;Basel-Stadt;229;576
13;Basel-Landschaft;245;413
14;Schaffhausen;104;132
15;Appenzell Ausserrhoden;34;51
16;Appenzell Innerrhoden;4;16
17;St. Gallen;526;897
18;Graubünden / Grigioni / Grischun;120;249
19;Aargau;567;1514
20;Thurgau;289;469
21;Ticino;782;-79
22;Vaud;1016;2200
23;Valais / Wallis;253;707
24;Neuchâtel;229;245
25;Genève;985;1193
26;Jura;55;74
