Dist_num;Name;Surface_totale;Surface_non_nat
101;Bezirk Affoltern;11305;1744
102;Bezirk Andelfingen;16663;1689
103;Bezirk Bülach;18489;4087
104;Bezirk Dielsdorf;15284;2815
105;Bezirk Hinwil;17942;2831
106;Bezirk Horgen;10422;2826
107;Bezirk Meilen;8463;2748
108;Bezirk Pfäffikon;16312;2108
109;Bezirk Uster;11220;3170
110;Bezirk Winterthur;25188;4438
111;Bezirk Dietikon;6000;1990
112;Bezirk Zürich;8794;5212
241;Arrondissement administratif Jura bernois;54169;2919
242;Verwaltungskreis Biel/Bienne;9749;2447
243;Verwaltungskreis Seeland;33683;3704
244;Verwaltungskreis Oberaargau;33104;3884
245;Verwaltungskreis Emmental;69022;4822
246;Bern-Mittelland;94363;11395
247;Verwaltungskreis Thun;32181;3428
248;Verwaltungskreis Obersimmental-Saanen;57502;1460
249;Verwaltungskreis Frutigen-Niedersimmental;77340;2341
250;Verwaltungskreis Interlaken-Oberhasli;122924;2770
311;Wahlkreis Luzern-Stadt;2908;1321
312;Wahlkreis Luzern-Land;18753;2929
313;Wahlkreis Hochdorf;17742;2519
314;Wahlkreis Sursee;27310;3118
315;Wahlkreis Willisau;33743;2764
316;Wahlkreis Entlebuch;42446;1422
400;Kanton Uri;105721;1868
501;Bezirk Einsiedeln;9903;588
502;Bezirk Gersau;1436;92
503;Bezirk Höfe;3765;830
504;Bezirk Küssnacht (SZ);2948;453
505;Bezirk March;17683;1282
506;Bezirk Schwyz;49435;2060
600;Kanton Obwalden;48070;1779
700;Kanton Nidwalden;24139;1417
800;Kanton Glarus;68070;1836
900;Kanton Zug;20709;3078
1001;District de la Broye;17250;1785
1002;La Glâne;16878;1291
1003;District de la Gruyère;48976;2488
1004;District de la Sarine;21773;3126
1005;Bezirk See / District du Lac;14472;1749
1006;Bezirk Sense;26549;2062
1007;District de la Veveyse;13436;906
1101;Bezirk Gäu;6197;993
1102;Bezirk Thal;13939;776
1103;Bezirk Bucheggberg;6276;512
1104;Bezirk Dorneck;7464;840
1105;Bezirk Gösgen;6869;922
1106;Bezirk Wasseramt;7659;1886
1107;Bezirk Lebern;11724;1634
1108;Bezirk Olten;8057;1855
1109;Bezirk Solothurn;627;434
1110;Bezirk Thierstein;10227;703
1200;Kanton Basel-Stadt;3697;2513
1301;Bezirk Arlesheim;9619;3778
1302;Bezirk Laufen;8955;877
1303;Bezirk Liestal;8596;1825
1304;Bezirk Sissach;14104;1424
1305;Bezirk Waldenburg;10501;724
1401;Bezirk Oberklettgau;3192;237
1402;Bezirk Reiat;3933;444
1403;Bezirk Schaffhausen;10580;1567
1404;Bezirk Schleitheim;4354;242
1405;Bezirk Stein;3096;298
1406;Bezirk Unterklettgau;4663;376
1501;Bezirk Hinterland;13618;930
1502;Bezirk Mittelland;6029;665
1503;Bezirk Vorderland;4644;553
