Num_canton;Canton;Surface_total;Surfaces_non_naturelles
22; Vaud;321224;27333
23; Valais;522481;16974
25; Genève;28237;8946
2; Bern;595950;39178
10; Fribourg;167146;13408
11; Solothurn;79039;10555
24; Neuchâtel;80213;6021
26; Jura;83857;5056
12; BaselStadt;3697;2513
13; BaselLandschaft;51775;8628
19; Aargau;140385;22972
1; Zürich;172886;35663
8; Glarus;68534;1837
14; Schaffhausen;29843;3164
15; Appenzell Ausserrhoden;24291;2148
16; Appenzell Innerrhoden;17236;784
17; St. Gallen;202822;18578
18; Graubünden;710517;12200
20; Thurgau;99400;12027
3; Luzern;149330;14076
4; Uri;107639;1869
5; Schwyz;90804;5308
6; Obwalden;49063;1781
7; Nidwalden;27597;1422
9; Zug;23874;3084
21; Ticino;281230;14130
